OTUID	Kingdom	Phylum	Class	Order	Family	Genus	A1_b	A2_b	A3_b	A4_b	A5_b	A6_b	B1_b	B2_b	B3_b	B4_b	B5_b	B6_b	C1_b	C2_b	C3_b	C4_b	C5_b	C6_b	D1_b	D2_b	D3_b	D4_b	D5_b	D6_b	E1_b	E2_b	E3_b	E4_b	E5_b	E6_b
b9e9395fdb3c571b1491ba038ddfad5c	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Parapusillimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	298	90	68	112	200	104
47fe5b9eeaad17c139e39a16068f34f6	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	24	0	0	0	0	0	0	192	136	64	182	194	62
1354e61ebc4a9494d78e8e068ba2e611	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	170	62	154	182	108
aee0dacb66bb3b44e8986f3859fd19d6	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Nocardiopsis	0	0	0	0	0	0	0	0	0	0	0	0	114	104	40	146	210	154	0	0	20	24	0	38	0	0	0	0	0	0
675935ea669f58ed689dc7a62bfd363e	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Unidentified_Burkholderiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	204	102	24	172	124	210
8012da7c810e58147175f741af2a78d2	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Unidentified_Burkholderiaceae	22	16	0	0	14	0	0	12	6	18	28	20	38	42	20	46	58	48	0	40	22	104	22	28	76	28	0	0	28	104
7a6dfd458de99d4ff65e52f638b69111	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	0	0	2	0	0	0	0	0	0	0	0	0	90	100	0	152	256	236	0	0	0	0	0	0	0	0	0	0	0	0
2ba989fc8d7eb2e0e003700ee22e00a8	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	306	212	0	0	0	0	0	0	0	0	0	0	0	0
ec9a0f58daa2f7b33b9ca94ffb00fd4d	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Unidentified_Lachnospiraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312	106	28	136	144	106
889f1bc31887efea2354ba099342a203	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	116	36	174	182	154
